,merchant_name,broken_link_score,link_contact_us_exist,cu_email_exist,cu_phone_number_exist,link_about_us_exist,link_tnc_exist,tnc_refund_policy_exist,contact_us_score,tnc_score,label,broken_links
0,CV. ASIA TRIP INDONESIA,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,Pt. Blooming Lotus Yoga,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,Yayasan Green Sejahtera,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,PT Matair Terra Solusi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,APPROVED,{}
0,SimplyMii,0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,APPROVED,{}
0,Nyetak.ID,10.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,100.0,APPROVED,{'https://www.nyetak.id/_blank': '<Response [404]>'}
0,nonandnik,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,YoYo Mats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{}
0,hiendguitar.com,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,Fipper,0.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,APPROVED,{}
0,SisilShop,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Gamma Media,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Shinhwa Global Sakura Bear,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Gitra,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,REJECTED,{}
0,Putri mitsubishi,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Toko Reza 999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,wiraswasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{}
0,Barokah Lumintu,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Merah Hitam,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{'': 'None'}
0,Sellygroup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,{}
0,LifePal Technologies Pte. Ltd.,0.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,Digital Service Testing Merchant,10.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{'https://www.linkedin.com/company/doku-indonesia/': '<Response [999]>'}
0,AOGIN,0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,APPROVED,{}
0,Zervinco,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,100.0,APPROVED,{}
0,Zervinco,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,100.0,APPROVED,{}
0,Project X,20.0,1.0,0.0,1.0,1.0,1.0,0.0,50.0,0.0,APPROVED,"{'tel:+681388178888': 'None', 'https://projectx.id/contact-us/': '<Response [404]>'}"
0,Ini Aku,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'https://id.linkedin.com/company/pt-aneka-search-indonesia': '<Response [999]>'}
0,bramble furniture,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,APPROVED,{}
0,PAGi,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,100.0,APPROVED,{}
0,Netviro,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,APPROVED,{}
0,icreate.id,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,APPROVED,{'https://www.icreate.id/job-vacancy.aspx': '<Response [404]>'}
0,MALAMADRE MOTORCYCLES,30.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,APPROVED,"{'https://malamadremotorcycles.com/portfolio/mm34/': '<Response [403]>', 'https://malamadremotorcycles.com/portfolio/mm10/': '<Response [403]>', 'https://malamadremotorcycles.com/portfolio/mm82/': '<Response [403]>'}"
0,Huaning Indonesia Sukses,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{'https://support.cloudflare.com/hc/en-us/articles/200171946-Error-523': '<Response [404]>'}
0,Yuliana GoHerbalife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APPROVED,{}
0,Radja Fit Club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{}
0,CV. IDEA COMINDO,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,REVIEWED,{}
0,Club MESRA,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REVIEWED,{'https://www.facebook.com/Ulfi%20Ulfiyah': '<Response [404]>'}
0,Wyaz Rental,0.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,REVIEWED,{}
