,merchant_name,website,label
0,CV.ASIATRIPINDONESIA,http://asiatrip.id/,APPROVED
1,Pt.BloomingLotusYoga,https://www.blooming-lotus-yoga.com,APPROVED
2,YayasanGreenSejahtera,https://greensejahterafoundation.com/,APPROVED
3,PTMatairTerraSolusi,http://www.matair.co.id,APPROVED
4,SimplyMii,https://www.simplymii.com/,APPROVED
5,Nyetak.ID,https://www.nyetak.id,APPROVED
6,nonandnik,https://nonandnik.com,APPROVED
7,YoYoMats,https://yoyomatsindonesia.myshopify.com,REJECTED
8,hiendguitar.com,http://hiendguitar.com/,APPROVED
9,Fipper,http://www.fippersandal.co.id,APPROVED
10,SisilShop,SisilShop.com,REJECTED
11,GammaMedia,http://gammamedia.co.id,REJECTED
12,ShinhwaGlobalSakuraBear,http://www.shinhwaglobalsakurabearinternational.co.id,REJECTED
13,Gitra,s.id/StartFromTheBottom,REJECTED
14,Putrimitsubishi,Www.mitsubishiputribali.com,REJECTED
15,TokoReza999,www.sdntamunti.com,REJECTED
16,wiraswasta,www.aikagames.com,REJECTED
17,BarokahLumintu,Www.Klink.com,REJECTED
18,MerahHitam,Merahhitam.com,REJECTED
19,Sellygroup,https://sellygroup.com,REJECTED
20,LifePalTechnologiesPte.Ltd.,https://lifepal.co.id,APPROVED
21,DigitalServiceTestingMerchant,www.doku.com,APPROVED
22,AOGIN,aoginbali2020.com,APPROVED
23,Zervinco,https://www.zervinco.com,APPROVED
24,Zervinco,www.zervinco.com,APPROVED
25,ProjectX,projectx.id,APPROVED
26,IniAku,https://iniaku.online/,APPROVED
27,bramblefurniture,https://www.bramblefurniture.com/,APPROVED
28,PAGi,www.pagi.lol,APPROVED
29,Netviro,https://run.ngehe.com/,APPROVED
30,icreate.id,https://www.icreate.id/index.aspx,APPROVED
31,MALAMADREMOTORCYCLES,www.malamadremotorcycles.com,APPROVED
32,HuaningIndonesiaSukses,https://www.jomooz.com,APPROVED
33,YulianaGoHerbalife,https://yuliana.goherbalife.com/,APPROVED
34,RadjaFitClub,https://bari.goherbalife.com/id-id,REVIEWED
35,CV.IDEACOMINDO,https://onfirecloud.id,REVIEWED
36,ClubMESRA,https://bugarbersamaulfi.goherbalife.com/id-id,REVIEWED
37,WyazRental,https://www.bangkarental.com,REVIEWED
38,AndrianKun,,REVIEWED
39,lemonbandung,lemonbdg009@gmail.com,REVIEWED
40,CariYugi,http://cariyugi.com/,REVIEWED
42,CuankiDapurBunda,https://www.facebook.com/cuankidapurbunda/,REVIEWED
44,PolaroFurniture,Facebook.com/polarofurniture,REVIEWED
46,a4swallpaper,Wallpaperdistributor,REVIEWED
47,freakythrifting,https://www.instagram.com/freakythriftshop_/?hl=id,REVIEWED
48,Adi,Https://Facebook.com/andiktamvan,REJECTED
49,Pawsomeness&Co,https://pawsomeness.co/,REJECTED
50,heywikwiks,heywikwiks.com,REJECTED
